Medicare CCN,Projected to Receive DSH in FY 2024,IHS or PR,Rural Community Hospital Demonstration,New Hospital,2018 UCC (Annualized),Length of 2018 Reporting Period,2019 UCC (Annualized),Length of 2019 Reporting Period,2020 UCC (Annualized),Length of 2020 Reporting Period,Factor 3,Total Uncompensated Care Payment,Total Supplemental Payment,Estimated Per Claim Amount, BILLS 2021 , BILLS 2022 , Claims Average 
460010,YES,NO,NO,NO,"$57,741,328.00 ",365,"$54,355,403.00 ",365,46356168,366,0.001554049,9227951.92,N/A,1783.87,"5,276","5,069",5173
460011,YES,NO,NO,NO,"$1,312,348.00 ",365,"$1,315,651.00 ",365,1343899,366,0.000038973,231423.09,N/A,349.05,690,635,663
460013,YES,NO,NO,NO,"$3,728,771.00 ",365,"$3,002,410.22 ",366,2990691.29,365,0.000095452,566792.87,N/A,864.01,701,610,656
460014,YES,NO,NO,NO,"$2,278,771.00 ",365,"$2,640,050.00 ",365,2836490,366,0.00007608,451766.51,N/A,1381.55,341,312,327
460015,YES,NO,NO,NO,"$6,993,376.00 ",365,"$8,641,323.00 ",365,6305347,366,0.000214843,1275739.82,N/A,1340.06,896,"1,007",952
460017,YES,NO,NO,NO,"$1,724,432.00 ",365,"$1,529,476.65 ",366,1419518.47,365,0.000045859,272308.59,N/A,1433.2,191,188,190
460019,SCH,NO,NO,NO,"$2,567,814.00 ",365,"$2,503,963.83 ",366,3553624.36,365,0.000084755,N/A,N/A,1711.82,343,245,294
460021,SCH,NO,NO,NO,"$21,660,598.00 ",365,"$25,863,473.00 ",365,20935996,366,0.000670739,N/A,N/A,753.33,"5,428","5,145",5287
460023,YES,NO,NO,NO,"$5,573,342.00 ",365,"$5,044,228.00 ",365,4734495,366,0.00015064,894499.66,N/A,1349.17,675,650,663
460026,YES,NO,NO,NO,"$2,271,953.00 ",365,"$2,083,669.00 ",365,1546991,366,0.000057869,343625.88,N/A,1306.56,264,261,263
460030,SCH,NO,NO,NO,"$1,404,444.00 ",365,"$1,687,732.00 ",365,1372616,366,0.000043744,N/A,N/A,688.99,388,366,377
460039,YES,NO,NO,NO,"$1,322,295.00 ",365,"$1,339,867.00 ",365,1160185,366,0.000037481,222559.91,N/A,3372.12,57,75,66
460041,YES,NO,NO,NO,"$6,372,237.00 ",365,"$5,433,277.31 ",366,3052369.81,365,0.00014559,864514.19,N/A,867.99,"1,061",930,996
460042,YES,NO,NO,NO,"$3,863,498.00 ",365,"$3,462,156.00 ",365,3258050,366,0.000103855,616693.99,N/A,814.66,801,713,757
460043,NO,NO,NO,NO,"$1,685,815.00 ",365,"$1,483,348.00 ",365,1298193,366,0.000043829,N/A,N/A,N/A, N/A , N/A , N/A 
460044,YES,NO,NO,NO,"$5,102,112.00 ",365,"$4,519,900.00 ",365,4732818,366,0.000140921,836787.12,N/A,1769.11,485,460,473
460047,YES,NO,NO,NO,"$12,821,308.00 ",365,"$12,375,475.59 ",366,11087946.94,365,0.0003559,2113336.02,N/A,792.7,"2,770","2,561",2666
460049,NO,NO,NO,NO,"$1,478,480.00 ",365,"$1,555,728.00 ",365,1319731,366,0.000042684,N/A,N/A,N/A, N/A , N/A , N/A 
460051,YES,NO,NO,NO,"$18,447,948.00 ",365,"$17,681,179.41 ",366,13858139.77,365,0.000490079,2910094.48,N/A,2146.09,"1,359","1,353",1356
460052,YES,NO,NO,NO,"$3,715,498.00 ",365,"$3,505,991.00 ",365,3260423,366,0.000102834,610630.05,N/A,1221.26,540,460,500
460054,YES,NO,NO,NO,"$1,116,752.00 ",365,"$1,092,385.16 ",366,1004452.41,365,0.000031522,187179.09,N/A,2228.32,88,80,84
460057,NO,NO,NO,NO,"$2,734,941.00 ",365,"$2,959,437.00 ",365,2708910,366,0.000082399,N/A,N/A,N/A, N/A , N/A , N/A 
460058,YES,NO,NO,NO,"$5,529,438.00 ",365,"$5,545,365.00 ",365,4932365,366,0.000156982,932160.18,N/A,1810.02,552,477,515
460060,NO,NO,NO,NO,"$2,502,311.00 ",365,"$2,364,564.74 ",366,2349034.13,365,0.00007081,N/A,N/A,N/A, N/A , N/A , N/A 
460061,YES,NO,NO,NO,,0,"$2,866,105.96 ",397,3619574,366,0.000095185,565209.84,N/A,1468.08,417,352,385
460062,NO,NO,NO,YES,,,,,,,N/A,N/A,N/A,N/A, N/A , N/A , N/A 
470001,SCH,NO,NO,NO,"$4,189,602.00 ",365,"$4,240,207.00 ",365,3590693,366,0.000117859,N/A,N/A,371.47,"1,891","1,876",1884
470003,SCH,NO,NO,NO,"$15,447,496.00 ",365,"$15,645,262.00 ",365,14792658,366,0.000450088,N/A,N/A,384.11,"7,208","6,708",6958
470005,SCH,NO,NO,NO,"$4,200,256.00 ",365,"$7,077,765.00 ",365,5133221,366,0.000160529,N/A,N/A,388.91,"2,566","2,335",2451
470011,YES,NO,NO,NO,"$1,706,634.00 ",365,"$3,148,589.00 ",365,3103585,366,0.00007795,462865.13,N/A,716.51,658,633,646
470012,SCH,NO,NO,NO,"$2,914,592.00 ",365,"$3,018,635.00 ",365,3049852,366,0.000088131,N/A,N/A,387.36,"1,394","1,307",1351
470024,SCH,NO,NO,NO,"$2,680,804.00 ",365,"$2,926,343.00 ",365,3050874,366,0.00008494,N/A,N/A,513.1,"1,009",957,983
480001,NO,NO,NO,NO,"$7,607,270.00 ",365,$0.00 ,365,9158372,366,0.000249381,N/A,N/A,N/A, N/A , N/A , N/A 
480002,NO,NO,NO,NO,"$20,684,281.00 ",365,"$16,888,775.00 ",365,246896,366,0.000369501,N/A,N/A,N/A, N/A , N/A , N/A 
490002,YES,NO,NO,NO,"$2,395,232.00 ",365,"$1,559,391.00 ",365,719605,366,0.000045841,272206.37,N/A,657.5,413,414,414
490004,SCH,NO,NO,NO,"$25,031,148.00 ",365,"$12,637,723.00 ",365,15373824,366,0.000521887,N/A,N/A,757.69,"4,274","3,905",4090
490005,SCH,NO,NO,NO,"$25,520,458.00 ",365,"$19,717,235.00 ",365,18060603,366,0.000621395,N/A,N/A,490.21,"7,364","7,689",7527
490007,YES,NO,NO,NO,"$61,532,576.00 ",365,"$54,072,604.00 ",365,36063289,366,0.001486705,8828061.39,N/A,1329.13,"6,976","6,308",6642
490009,YES,NO,NO,NO,"$110,488,802.00 ",365,"$40,455,305.55 ",366,34905837.14,365,0.001829284,10862303.5,N/A,1469.67,"7,748","7,034",7391
490013,YES,NO,NO,NO,"$8,074,127.00 ",365,"$5,383,297.00 ",365,2686061,366,0.000158329,940157.02,N/A,828.33,"1,185","1,085",1135
490017,YES,NO,NO,NO,"$24,910,361.00 ",365,"$14,803,654.05 ",366,11315751.39,365,0.000501208,2976176.21,N/A,1180.09,"2,819","2,225",2522
