Medicare CCN,Projected to Receive DSH in FY 2024,IHS or PR,Rural Community Hospital Demonstration,New Hospital,2018 UCC (Annualized),Length of 2018 Reporting Period,2019 UCC (Annualized),Length of 2019 Reporting Period,2020 UCC (Annualized),Length of 2020 Reporting Period,Factor 3,Total Uncompensated Care Payment,Total Supplemental Payment,Estimated Per Claim Amount, BILLS 2021 , BILLS 2022 , Claims Average 
10001,YES,NO,NO,NO,"$21,782,404.00 ",365,"$25,746,956.00 ",365,25866530,366,0.000719771,4274006.27,N/A,895.45,"4,837","4,709",4773
10005,YES,NO,NO,NO,"$12,786,055.00 ",365,"$13,259,343.00 ",365,12175773,366,0.000374838,2225790.69,N/A,1261.07,"1,963","1,567",1765
10006,YES,NO,NO,NO,"$7,997,054.00 ",365,"$7,550,252.38 ",366,8985968.83,365,0.000240915,1430553.81,N/A,397.16,"3,751","3,452",3602
10007,YES,NO,NO,NO,"$1,535,214.00 ",365,"$1,561,365.00 ",365,1871836,366,0.000048781,289661.65,N/A,603.46,490,469,480
10008,YES,NO,NO,NO,"$43,689.00 ",365,"$885,068.00 ",365,556399.57,276,0.000014456,85840.32,N/A,635.85,157,113,135
10011,YES,NO,NO,NO,"$21,142,988.00 ",365,"$21,315,128.39 ",366,21550228.41,365,0.000628029,3729237.56,N/A,1527.12,"2,525","2,358",2442
10012,SCH,NO,NO,NO,"$2,708,981.00 ",365,"$2,870,968.33 ",366,3282459.47,365,0.000086986,N/A,N/A,810.87,665,608,637
10016,YES,NO,NO,NO,"$12,341,862.00 ",365,"$14,105,412.00 ",365,9313344,366,0.00035015,2079190.4,N/A,1159.62,"1,919","1,666",1793
10018,NO,NO,NO,NO,"$2,111,830.00 ",365,"$2,716,503.00 ",365,2701436,366,0.000073821,N/A,N/A,N/A, N/A , N/A , N/A 
10019,YES,NO,NO,NO,"$7,656,959.00 ",365,"$7,236,602.00 ",365,7325932,366,0.000218055,1294814.57,N/A,686.18,"2,079","1,694",1887
10021,YES,NO,NO,NO,"$3,062,653.00 ",365,"$2,158,946.00 ",365,2704151,366,0.00007791,462628.11,N/A,1506.93,339,275,307
10022,YES,NO,NO,NO,"$1,098,497.53 ",395,"$1,796,636.71 ",366,1883090.05,365,0.000046827,278059.53,N/A,1463.47,202,178,190
10023,YES,NO,NO,NO,"$28,301,755.00 ",365,"$36,243,471.82 ",366,27541300.45,365,0.00090177,5354715.24,N/A,1706.41,"3,479","2,796",3138
10024,YES,NO,NO,NO,"$11,600,488.00 ",365,"$10,700,841.00 ",365,11367402,366,0.0003305,1962513.04,N/A,776.62,"2,647","2,407",2527
10029,YES,NO,NO,NO,"$17,951,353.00 ",365,"$15,997,566.00 ",365,16807719,366,0.000498272,2958742.12,N/A,990.54,"3,156","2,818",2987
10033,YES,NO,NO,NO,"$128,781,551.00 ",365,"$125,884,713.00 ",365,136459880,366,0.003839017,22796111.84,N/A,2163.02,"11,007","10,070",10539
10034,YES,NO,NO,NO,"$1,412,110.00 ",365,"$1,086,079.00 ",365,988650,366,0.00003423,203257.51,N/A,1882.01,117,98,108
10035,SCH,NO,NO,NO,"$9,903,106.00 ",365,"$9,699,841.09 ",366,8754578.61,365,0.000278139,N/A,N/A,710.06,"2,402","2,250",2326
10036,YES,NO,NO,NO,"$2,275,728.00 ",365,"$1,973,764.43 ",366,2839453.07,365,0.000069681,413765.23,N/A,586.9,785,625,705
10039,YES,NO,NO,NO,"$71,730,014.00 ",365,"$61,947,944.60 ",366,53850637.89,365,0.001839903,10925358.31,N/A,971.23,"11,535","10,962",11249
10040,YES,NO,NO,NO,"$13,444,779.00 ",365,"$11,239,178.00 ",365,13350139,366,0.000373618,2218546.83,N/A,980.36,"2,418","2,107",2263
10044,YES,NO,NO,NO,"$2,023,122.00 ",365,"$2,059,232.00 ",365,2333380,366,0.000062976,373953.13,N/A,2322.69,165,156,161
10045,YES,NO,NO,NO,"$2,158,776.00 ",365,"$1,838,797.00 ",365,5101959,366,0.000089686,532555.39,N/A,1862.08,333,239,286
10046,YES,NO,NO,NO,"$2,110,216.00 ",365,"$4,737,280.00 ",365,3885273,366,0.000104964,623276.2,N/A,344.92,"1,909","1,704",1807
10049,YES,NO,NO,NO,"$3,487,739.00 ",365,"$3,410,483.00 ",365,3885618,366,0.000105867,628641.79,N/A,705.55,923,859,891
10051,YES,NO,NO,NO,"$563,279.00 ",365,"$471,653.00 ",365,77569,366,0.000010878,64595.35,N/A,1435.45,51,39,45
10052,YES,NO,NO,NO,"$52,908.00 ",365,"$1,349,229.00 ",365,1210497,366,0.000025498,151408.87,N/A,1351.86,121,103,112
10055,YES,NO,NO,NO,"$10,332,428.00 ",365,"$8,492,597.00 ",365,10122982,366,0.000284381,1688655.46,N/A,541.06,"3,195","3,047",3121
10056,YES,NO,NO,NO,"$21,530,220.00 ",365,"$19,880,989.54 ",366,21130450.47,365,0.000613923,3645479.81,N/A,1022.86,"3,621","3,507",3564
10058,YES,NO,NO,NO,"$1,641,023.00 ",365,"$1,819,765.00 ",365,1285262,366,0.000046488,276044.19,N/A,3325.83,93,72,83
10059,NO,NO,NO,NO,"$1,340,768.00 ",365,"$1,165,380.00 ",365,1290617,366,0.000037283,N/A,N/A,N/A, N/A , N/A , N/A 
10061,YES,NO,NO,NO,"$3,483,941.00 ",365,"$3,744,340.00 ",365,3652195,366,0.000106719,633698.39,N/A,1085.1,561,607,584
10062,YES,NO,NO,NO,"$2,719,052.00 ",365,"$1,968,405.00 ",365,1695918,366,0.000062668,372124.37,N/A,1824.14,239,169,204
10065,YES,NO,NO,NO,"$1,825,240.00 ",365,"$1,595,907.00 ",365,1972729,366,0.000052987,314634.68,N/A,651.42,495,470,483
10069,SCH,NO,NO,NO,"$1,301,610.28 ",396,"$2,054,142.00 ",365,1816989,366,0.000050656,N/A,N/A,1101.81,271,275,273
10073,YES,NO,NO,NO,"$952,033.00 ",365,"$1,280,460.00 ",365,1176897,366,0.000033409,198382.63,N/A,672.48,331,259,295
10078,YES,NO,NO,NO,"$12,442,712.00 ",365,"$11,951,616.00 ",365,11266673,366,0.000349854,2077434.62,N/A,764.89,"2,564","2,868",2716
10079,YES,NO,NO,NO,"$5,158,361.00 ",365,"$5,181,977.80 ",366,4578692.09,365,0.000146306,868767,N/A,806.65,"1,134","1,019",1077
10083,YES,NO,NO,NO,"$7,133,093.00 ",365,"$5,809,741.00 ",365,6964825,366,0.000195579,1161350.05,N/A,627.76,"1,946","1,753",1850
10085,YES,NO,NO,NO,"$11,576,382.00 ",365,"$11,386,976.80 ",366,11301091.3,365,0.000336193,1996315.67,N/A,754.75,"2,813","2,477",2645
10086,YES,NO,NO,NO,"$1,036,247.00 ",365,"$1,159,438.00 ",365,1405519,366,0.00003535,209909.73,N/A,546.64,422,345,384
10087,YES,NO,NO,NO,"$42,518,338.00 ",365,"$11,779,108.00 ",365,19445604,366,0.000727249,4318408.35,N/A,2692.27,"1,482","1,725",1604
10089,SCH,NO,NO,NO,"$8,798,070.00 ",365,"$10,745,893.00 ",365,5765865,366,0.000247573,N/A,N/A,1191.32,"1,376","1,091",1234
10090,YES,NO,NO,NO,"$19,047,936.00 ",365,"$19,203,358.06 ",366,15960891.99,365,0.000531514,3156133.77,N/A,1203.71,"2,793","2,450",2622
10091,YES,NO,NO,NO,"$1,170,613.00 ",365,"$1,233,229.29 ",366,1148255.31,365,0.000034836,206855.19,N/A,3761,65,44,55
10092,YES,NO,NO,NO,"$37,176,608.00 ",365,"$45,520,822.00 ",365,72161869,366,0.001521704,9035888.05,N/A,1646.78,"6,437","4,536",5487
10095,YES,NO,NO,NO,"$729,740.00 ",365,"$682,150.00 ",365,1146798,366,0.000025163,149415.27,N/A,1167.31,138,117,128
10097,YES,NO,NO,NO,"$806,194.00 ",365,"$44,855.00 ",365,724358,366,0.000015606,92666.71,N/A,568.51,169,157,163
10099,YES,NO,NO,NO,"$1,913,391.00 ",365,"$1,829,580.00 ",365,928459,366,0.000045737,271589.46,N/A,838.24,367,281,324
10100,YES,NO,NO,NO,"$10,255,343.00 ",365,"$9,205,084.59 ",366,14208133.04,365,0.000331013,1965555.81,N/A,713.45,"2,726","2,784",2755
10101,YES,NO,NO,NO,"$4,572,592.00 ",365,"$4,387,769.00 ",365,2583454,366,0.000113071,671416.1,N/A,1699.79,446,343,395
10102,YES,NO,NO,NO,"$316,111.00 ",365,"$319,858.00 ",365,776131,366,0.000013907,82580.4,N/A,3753.65,22,21,22
10103,YES,NO,NO,NO,"$19,663,418.00 ",365,"$19,725,298.00 ",365,11950494,366,0.000502812,2985699.06,N/A,1468.62,"2,159","1,906",2033
10104,YES,NO,NO,NO,"$8,658,323.00 ",365,"$9,653,335.51 ",366,11601649.5,365,0.000293627,1743559.69,N/A,328.35,"5,356","5,264",5310
10108,YES,NO,NO,NO,"$4,558,509.00 ",365,"$4,049,345.90 ",366,4042637.46,365,0.000124166,737300.78,N/A,895.87,806,840,823
10109,NO,NO,NO,NO,"$1,532,391.00 ",365,"$1,439,538.00 ",365,108044.13,158,0.000030074,N/A,N/A,N/A, N/A , N/A , N/A 
10110,YES,NO,NO,NO,"$666,955.00 ",365,"$900,090.00 ",365,2420244,366,0.000039275,233215.76,N/A,7773.86,45,14,30
10112,YES,NO,NO,NO,"$1,783,715.00 ",365,"$1,205,982.00 ",365,1629920,366,0.000045428,269748.9,N/A,674.37,451,349,400
10113,YES,NO,NO,NO,"$24,138,962.00 ",365,"$28,665,237.10 ",366,32574113.31,365,0.000837722,4974398.33,N/A,1039.36,"5,042","4,530",4786
10114,YES,NO,NO,NO,"$8,617,135.26 ",273,"$10,563,662.00 ",365,11687268,366,0.000302812,1798098.5,N/A,1627.24,"1,174","1,036",1105
10118,YES,NO,NO,NO,"$4,337,292.00 ",365,"$4,946,204.75 ",366,6441940.93,365,0.000154406,916865.95,N/A,1088.91,998,686,842
10120,YES,NO,NO,NO,"$1,859,565.00 ",365,"$1,955,924.00 ",365,97980,366,0.000038174,226676.09,N/A,952.42,254,222,238
10125,YES,NO,NO,NO,"$948,580.00 ",365,"$1,610,955.00 ",365,1689596,366,0.000041638,247248.42,N/A,683.01,383,340,362
10126,YES,NO,NO,NO,"$2,274,689.00 ",365,"$2,320,212.25 ",366,2712106.13,365,0.000071734,425954.84,N/A,1910.11,263,182,223
10128,YES,NO,NO,NO,"$956,919.00 ",365,"$1,080,911.00 ",365,1113768,366,0.000030914,183568.89,N/A,1067.26,186,157,172
10129,YES,NO,NO,NO,"$3,417,143.00 ",365,"$3,400,529.48 ",366,6287544.08,365,0.000128916,765505.57,N/A,2193.43,352,345,349
10130,NO,NO,NO,NO,"$4,275,897.00 ",365,"$3,873,498.67 ",366,3595585,365,0.000115241,N/A,N/A,N/A, N/A , N/A , N/A 
10131,NO,NO,NO,NO,"$8,618,370.00 ",365,"$8,676,027.06 ",366,7004284.39,365,0.000238208,N/A,N/A,N/A, N/A , N/A , N/A 
10138,YES,NO,NO,NO,"$314,847.00 ",365,"$242,119.00 ",365,134958,366,0.000006783,40278.41,N/A,1088.61,38,35,37
10139,YES,NO,NO,NO,"$16,373,316.00 ",365,"$16,280,581.00 ",365,15053850,366,0.000467951,2778697.18,N/A,1554.95,"1,981","1,592",1787
10144,YES,NO,NO,NO,"$11,715,585.00 ",365,"$9,514,710.00 ",365,10191726,366,0.000308578,1832337.98,N/A,940.14,"2,101","1,796",1949
10148,YES,NO,NO,NO,"$1,451,208.00 ",365,"$1,681,267.00 ",365,2047269,366,0.000050842,301900.18,N/A,663.52,524,385,455
10149,YES,NO,NO,NO,"$7,670,668.00 ",365,"$10,810,050.42 ",366,6989453.87,365,0.00024917,1479573.71,N/A,945.41,"1,579","1,551",1565
10150,YES,NO,NO,NO,"$3,045.67 ",334,"$63,999.00 ",365,3357648,366,0.000033976,201747.53,N/A,880.99,253,204,229
10157,YES,NO,NO,NO,"$2,128,953.00 ",365,"$2,166,925.22 ",366,3673349.47,365,0.00007836,465303.77,N/A,2556.61,206,157,182
10158,YES,NO,NO,NO,"$665,201.00 ",365,"$2,418,607.00 ",365,2190151,366,0.000051557,306147.72,N/A,818.58,393,355,374
10164,YES,NO,NO,NO,"$4,352,824.00 ",365,"$4,006,817.42 ",366,3656643.83,365,0.000117889,700026.82,N/A,1213.22,642,512,577
10168,NO,NO,NO,NO,"$1,333,654.00 ",365,"$1,137,513.00 ",365,834163,366,0.000032413,N/A,N/A,N/A, N/A , N/A , N/A 
10169,YES,NO,NO,NO,"$1,869,927.00 ",365,"$1,378,476.00 ",365,42854,366,0.000032183,191105.28,N/A,950.77,219,182,201
10173,YES,NO,NO,NO,"$4,216,161.00 ",365,"$4,125,245.96 ",366,3552370.93,365,0.000116638,692597.21,N/A,5677.03,150,93,122
10174,YES,NO,NO,NO,,0,,0,236733.85,290,0.00000705,41863.28,N/A,529.91,86,72,79
10175,NO,NO,NO,YES,,,,,,,N/A,N/A,N/A,N/A, N/A , N/A , N/A 
20001,YES,NO,NO,NO,"$20,103,904.00 ",365,"$19,711,744.00 ",365,17010192,366,0.000557271,3309077.47,N/A,714.24,"4,787","4,478",4633
20006,SCH,NO,NO,NO,"$3,348,715.00 ",365,"$2,836,885.00 ",365,3294826,366,0.000093117,N/A,N/A,289.19,"1,853","1,971",1912
20008,SCH,NO,YES,NO,"$2,535,282.00 ",365,"$1,772,907.72 ",366,2468630.89,365,0.000066641,N/A,N/A,867.8,431,481,456
20012,SCH,NO,NO,NO,"$1,872,372.00 ",365,"$5,095,169.00 ",365,4211038,366,0.000109279,N/A,N/A,557,"1,142","1,188",1165
20017,YES,NO,NO,NO,"$6,880,105.00 ",365,"$7,106,205.00 ",365,6145495,366,0.000197391,1172111.14,N/A,413.73,"2,754","2,912",2833
20018,YES,YES,NO,NO,$0.00 ,365,$0.00 ,365,0,366,0,0,"$877,631.00 ",4902.97,168,189,179
20024,SCH,NO,YES,NO,"$4,000,407.00 ",365,"$5,011,484.90 ",366,5301696.51,365,0.000140378,N/A,N/A,796.91,"1,024","1,068",1046
20026,YES,YES,NO,NO,$0.00 ,365,$0.00 ,365,0,366,0,0,"$2,709,911.87 ",1610.17,"1,632","1,733",1683
30002,YES,NO,NO,NO,"$16,111,124.00 ",365,"$17,167,613.00 ",365,18641871,366,0.000509491,3025361.97,N/A,765.14,"4,406","3,501",3954
30006,YES,NO,NO,NO,"$10,010,414.00 ",365,"$16,217,987.00 ",365,14071512,366,0.000394582,2343030.98,N/A,374.77,"6,444","6,060",6252
30007,SCH,NO,NO,NO,"$5,868,402.00 ",365,"$2,367,135.70 ",366,2508862.82,365,0.000105758,N/A,N/A,405.94,"1,560","1,533",1547
30010,YES,NO,NO,NO,"$3,603,258.00 ",365,"$4,967,058.00 ",365,4670587,366,0.000129753,770474.23,N/A,428.76,"2,008","1,586",1797
30011,YES,NO,NO,NO,"$4,333,429.00 ",365,"$4,930,205.00 ",365,3088984,366,0.00012093,718084.17,N/A,269.15,"2,977","2,358",2668
30012,SCH,NO,NO,NO,"$9,413,937.00 ",365,"$9,363,517.00 ",365,6925268,366,0.000251905,N/A,N/A,366.17,"4,068","4,101",4085
30013,SCH,NO,NO,NO,"$13,736,278.00 ",365,"$12,868,469.00 ",365,13798704,366,0.000396605,N/A,N/A,562.06,"4,459","3,921",4190
30014,YES,NO,NO,NO,"$7,816,209.00 ",365,"$8,054,748.00 ",365,7331079,366,0.000227541,1351140.49,N/A,475.08,"2,806","2,881",2844
30016,SCH,NO,NO,NO,"$3,789,016.00 ",365,"$4,197,552.00 ",365,4304360,366,0.000120567,N/A,N/A,577.83,"1,272","1,206",1239
30022,YES,NO,NO,NO,"$47,947,369.00 ",365,"$56,094,712.86 ",366,62860892.07,365,0.001637596,9724055.79,N/A,14258.15,656,707,682
30023,SCH,NO,NO,NO,"$10,693,411.00 ",365,"$7,259,477.02 ",366,7758756.79,365,0.000252644,N/A,N/A,528.98,"2,929","2,742",2836
30024,YES,NO,NO,NO,"$30,407,533.00 ",365,"$35,952,625.66 ",366,36029997.62,365,0.001004098,5962337.89,N/A,1206.71,"5,139","4,743",4941
30030,YES,NO,NO,NO,"$6,447,014.00 ",365,"$6,614,135.08 ",366,4721796.08,365,0.000174244,1034659.13,N/A,1271.08,950,677,814
30033,NO,NO,NO,NO,"$1,523,812.07 ",203,,,,,0.000045274,N/A,N/A,N/A, N/A , N/A , N/A 
30036,YES,NO,NO,NO,"$18,372,042.42 ",215,"$18,810,862.93 ",334,20114131,366,0.000562279,3338817.61,N/A,538.95,"6,044","6,345",6195
30037,YES,NO,NO,NO,"$4,573,629.00 ",365,"$5,135,073.31 ",366,2943947.57,365,0.000123837,735343.93,N/A,2509.71,303,282,293
30038,YES,NO,NO,NO,"$6,579,713.00 ",365,"$8,878,733.00 ",365,9379359,366,0.000243542,1446151.57,N/A,321.72,"4,408","4,581",4495
30043,SCH,NO,NO,NO,"$1,969,250.00 ",365,"$2,191,915.75 ",366,1620787.38,365,0.000056643,N/A,N/A,227.26,"1,545","1,414",1480
30055,SCH,NO,NO,NO,"$5,049,487.00 ",365,"$2,604,191.23 ",366,2491659.81,365,0.000099753,N/A,N/A,333.71,"1,997","1,553",1775
30061,NO,NO,NO,NO,"$4,133,122.00 ",365,"$4,354,805.00 ",365,4202406,366,0.000124473,N/A,N/A,N/A, N/A , N/A , N/A 
30062,SCH,NO,NO,NO,"$2,423,865.00 ",365,"$1,278,065.00 ",365,170324,366,0.00003797,N/A,N/A,142.7,"1,556","1,604",1580
30064,YES,NO,NO,NO,"$17,851,630.00 ",365,"$14,028,885.00 ",365,12504600,366,0.000435661,2586957.43,N/A,727.7,"3,795","3,315",3555
30065,YES,NO,NO,NO,"$20,007,600.00 ",365,"$21,528,461.00 ",365,21779064,366,0.000621104,3688122.02,N/A,807.03,"5,024","4,115",4570
30068,NO,NO,NO,NO,"$1,920,378.00 ",365,"$2,088,032.00 ",365,2482128,366,0.000063712,N/A,N/A,N/A, N/A , N/A , N/A 
30069,SCH,NO,NO,NO,"$2,262,460.00 ",365,"$1,366,023.47 ",366,3655205.9,365,0.000071811,N/A,N/A,190.11,"2,524","1,962",2243
30071,YES,YES,NO,NO,$0.00 ,365,$0.00 ,365,0,366,0,0,"$1,211,486.25 ",2019.14,634,566,600
30073,YES,YES,NO,NO,$0.00 ,365,$0.00 ,365,0,366,0,0,"$914,619.28 ",2073.97,456,426,441
30074,YES,YES,NO,NO,$0.00 ,365,$0.00 ,365,0,366,0,0,"$118,170.34 ",3939.01,47,13,30
30077,NO,NO,NO,NO,$0.00 ,365,$0.00 ,365,0,366,0,N/A,"$17,773.59 ",N/A, N/A , N/A , N/A 
30078,YES,YES,NO,NO,$0.00 ,365,$0.00 ,365,0,366,0,0,"$574,519.25 ",4287.46,124,143,134
30083,YES,NO,NO,NO,"$3,738,632.00 ",365,"$3,120,087.00 ",365,3437066,366,0.000101111,600395.5,N/A,732.19,849,791,820
30084,YES,YES,NO,NO,$0.00 ,365,$0.00 ,365,0,366,0,0,"$718,149.06 ",1870.18,399,369,384
30085,YES,NO,NO,NO,"$3,135,967.00 ",365,"$3,223,260.00 ",365,3790739,366,0.000099644,591684.97,N/A,177.68,"3,367","3,292",3330
30087,NO,NO,NO,NO,"$7,393,294.00 ",365,"$9,951,082.00 ",365,10074833,366,0.000268802,N/A,N/A,N/A, N/A , N/A , N/A 
30088,YES,NO,NO,NO,"$4,379,281.00 ",365,"$4,595,779.00 ",365,4577022,366,0.000132944,789422.33,N/A,198,"4,344","3,629",3987
30089,YES,NO,NO,NO,"$13,250,250.00 ",365,"$13,669,063.00 ",365,14695695,366,0.000408385,2424993.19,N/A,721.29,"3,645","3,078",3362
30092,YES,NO,NO,NO,"$8,214,021.00 ",365,"$9,787,320.00 ",365,8225846,366,0.000257003,1526083.01,N/A,487.72,"3,038","3,220",3129
30093,YES,NO,NO,NO,"$5,413,295.00 ",365,"$5,858,476.00 ",365,5923414,366,0.000168677,1001604.13,N/A,200.8,"5,160","4,815",4988
30094,YES,NO,NO,NO,"$5,713,105.00 ",365,"$5,917,127.69 ",366,4529485.64,365,0.000158372,940414.27,N/A,283.68,"3,409","3,220",3315
30101,YES,NO,NO,NO,"$1,854,095.00 ",365,"$2,205,955.29 ",366,1867988.79,365,0.000058091,344947.49,N/A,245.86,"1,462","1,343",1403
30103,NO,NO,NO,NO,"$7,786,884.00 ",365,"$10,467,104.00 ",365,14827368,366,N/A,N/A,N/A,N/A, N/A , N/A , N/A 
30105,NO,NO,NO,NO,"$1,115,786.00 ",365,"$1,187,214.00 ",365,1067524,366,0.000033049,N/A,N/A,N/A, N/A , N/A , N/A 
30107,NO,NO,NO,NO,"$70,938.00 ",365,"$65,604.00 ",365,65158,366,0.000001979,N/A,N/A,N/A, N/A , N/A , N/A 
30108,NO,NO,NO,NO,"$150,955.00 ",365,"$110,819.00 ",365,366293,366,0.000006195,N/A,N/A,N/A, N/A , N/A , N/A 
30110,YES,NO,NO,NO,"$7,470,561.00 ",365,"$8,647,429.41 ",366,8622028.45,365,0.000242625,1440708.79,N/A,665.15,"2,172","2,160",2166
30111,YES,NO,NO,NO,"$6,607,416.00 ",365,"$5,317,917.00 ",365,4989021,366,0.000166036,985923.04,N/A,1119.1,918,844,881
30112,NO,NO,NO,NO,"$132,524.00 ",365,"$37,286.00 ",365,19277,366,0.000001862,N/A,N/A,N/A, N/A , N/A , N/A 
30113,YES,YES,NO,NO,$0.00 ,365,$0.00 ,365,0,366,0,0,"$482,929.23 ",1857.42,271,249,260
30114,NO,NO,NO,NO,"$550,260.00 ",365,"$3,870,637.00 ",365,1076148,366,0.000053306,N/A,N/A,N/A, N/A , N/A , N/A 
30115,YES,NO,NO,NO,"$12,924,527.00 ",365,"$12,813,042.00 ",365,12332330,366,0.000373477,2217710.67,N/A,1089.25,"2,111","1,960",2036
30117,YES,NO,NO,NO,"$742,354.00 ",365,"$887,986.00 ",365,824623,366,0.000024066,142904.7,N/A,344.35,455,375,415
30119,YES,NO,NO,NO,"$8,554,120.00 ",365,"$8,788,072.09 ",366,9038280.76,365,0.000258839,1536987.99,N/A,467.74,"3,206","3,366",3286
30121,YES,NO,NO,NO,"$2,422,633.00 ",365,"$2,400,600.01 ",366,3497411.77,365,0.000081766,485529.88,N/A,295.51,"1,757","1,529",1643
30122,YES,NO,NO,NO,"$6,599,413.00 ",365,"$6,996,354.00 ",365,6558278,366,0.000197654,1173671.26,N/A,705.76,"1,834","1,492",1663
30123,NO,NO,NO,NO,"$1,807,149.00 ",365,"$2,821,680.00 ",365,7871653,366,0.000123137,N/A,N/A,N/A, N/A , N/A , N/A 
30130,YES,NO,NO,NO,"$2,505,319.00 ",365,"$2,668,411.00 ",365,3414080,366,0.00008433,500753.21,N/A,633.06,794,788,791
30131,NO,NO,NO,NO,$0.00 ,365,"$149,675.00 ",365,301195,366,0.000006641,N/A,N/A,N/A, N/A , N/A , N/A 
30134,YES,NO,NO,NO,"$867,804.00 ",365,"$980,365.00 ",365,949913,366,0.000027439,162935.7,N/A,633.99,276,238,257
30136,YES,NO,NO,NO,"$8,605,758.00 ",365,"$11,510,951.00 ",365,12334271,366,0.000318219,1889589.48,N/A,31493.16,48,71,60
30138,NO,NO,NO,NO,"$43,884,554.10 ",345,"$11,103,217.23 ",366,26765073.62,365,N/A,N/A,N/A,N/A, N/A , N/A , N/A 
30139,YES,NO,NO,NO,,0,"$2,641,600.67 ",351,4494886,366,0.000104985,623398.91,N/A,1391.52,356,539,448
30146,NO,NO,NO,YES,,,,,,,N/A,N/A,N/A,N/A, N/A , N/A , N/A 
30147,NO,NO,NO,YES,,,,,,,N/A,N/A,N/A,N/A, N/A , N/A , N/A 
30148,NO,NO,NO,YES,,,,,,,N/A,N/A,N/A,N/A, N/A , N/A , N/A 
30149,NO,NO,NO,YES,,,,,,,N/A,N/A,N/A,N/A, N/A , N/A , N/A 
30150,NO,NO,NO,YES,,,,,,,N/A,N/A,N/A,N/A, N/A , N/A , N/A 
30151,NO,NO,NO,YES,,,,,,,N/A,N/A,N/A,N/A, N/A , N/A , N/A 
30152,NO,NO,NO,YES,,,,,,,N/A,N/A,N/A,N/A, N/A , N/A , N/A 
30153,NO,NO,NO,YES,,,,,,,N/A,N/A,N/A,N/A, N/A , N/A , N/A 
30154,NO,NO,NO,YES,,,,,,,N/A,N/A,N/A,N/A, N/A , N/A , N/A 
40001,YES,NO,NO,NO,"$2,373,978.00 ",365,"$2,205,413.46 ",366,2729563.09,365,0.000071788,426276.12,N/A,882.56,517,448,483
40002,YES,NO,NO,NO,"$2,943,542.00 ",365,"$2,509,797.00 ",365,1201352,366,0.000065182,387048.3,N/A,1125.14,371,316,344
40004,YES,NO,NO,NO,"$10,461,077.00 ",365,"$12,120,126.00 ",365,10249646,366,0.000321751,1910558.35,N/A,429.63,"4,484","4,409",4447
40007,YES,NO,NO,NO,"$168,461.00 ",365,"$8,855,754.66 ",366,8135030.86,365,0.000167473,994458.02,N/A,208.57,"4,931","4,604",4768
40010,YES,NO,NO,NO,"$12,750,992.00 ",365,"$20,441,931.71 ",366,16936912.72,365,0.000490735,2913986.22,N/A,871.15,"3,280","3,410",3345
40011,YES,NO,NO,NO,"$828,798.00 ",365,"$819,347.21 ",366,665063.11,365,0.000022679,134668.63,N/A,225.58,600,594,597
40014,YES,NO,NO,NO,"$6,689,004.00 ",365,"$8,984,980.00 ",365,11135960,366,0.000263082,1562181.82,N/A,414.81,"4,012","3,519",3766
40015,YES,NO,NO,NO,"$679,299.00 ",365,"$945,292.00 ",365,658672,366,0.000022345,132682.5,N/A,564.61,225,245,235
40016,YES,NO,NO,NO,"$20,698,902.00 ",365,"$27,872,959.73 ",366,22271951.33,365,0.000693776,4119644.43,N/A,812.55,"5,418","4,722",5070
40017,YES,NO,NO,NO,"$3,889,848.00 ",365,"$3,339,230.42 ",366,2762895.9,365,0.00009802,582046.21,N/A,751.03,807,743,775
40018,YES,NO,NO,NO,"$848,645.41 ",304,"$755,362.00 ",365,1524557,366,0.000030793,182850.28,N/A,3450.01,61,44,53
40019,YES,NO,NO,NO,"$915,561.00 ",365,"$1,041,430.00 ",365,1335217,366,0.000032324,191938.62,N/A,646.26,336,257,297
40020,YES,NO,NO,NO,"$14,948,305.00 ",365,"$14,216,905.00 ",365,13194069,366,0.000415557,2467581.15,N/A,470.28,"5,555","4,939",5247
40022,YES,NO,NO,NO,"$10,089,480.00 ",365,"$8,921,077.00 ",365,9938707,366,0.000284261,1687941.25,N/A,713.42,"2,352","2,380",2366
40026,YES,NO,NO,NO,"$420,272.00 ",365,"$7,901,257.72 ",366,6146142.74,365,0.000141057,837597.24,N/A,189.85,"4,467","4,356",4412
40027,YES,NO,NO,NO,"$3,950,924.00 ",365,"$4,037,934.00 ",365,4228525,366,0.000119885,711876.14,N/A,224.21,"3,082","3,267",3175
40029,YES,NO,NO,NO,"$2,671,298.00 ",365,"$3,022,154.00 ",365,2554860,366,0.000080842,480040.18,N/A,180.53,"2,749","2,568",2659
40036,YES,NO,NO,NO,"$8,159,265.00 ",365,"$7,809,304.00 ",365,8116398,366,0.000236377,1403608.99,N/A,333.16,"4,052","4,374",4213
40039,YES,NO,NO,NO,"$2,847,637.00 ",365,"$2,321,998.36 ",366,2742764.89,365,0.000077729,461558.05,N/A,519.19,"1,005",773,889
40041,YES,NO,NO,NO,"$2,070,118.00 ",365,"$1,566,497.23 ",366,1981292.37,365,0.000055214,327863.15,N/A,264.19,"1,265","1,216",1241
40047,YES,NO,NO,NO,"$558,522.00 ",365,"$715,202.12 ",273,809216,366,0.000020433,121332.12,N/A,377.98,344,297,321
40050,YES,NO,NO,NO,"$1,329,677.00 ",365,"$908,762.00 ",365,777352,366,0.000029613,175842.61,N/A,602.2,322,262,292
